Date,AvgTemp,MinTemp,MaxTemp,Precipitation
1990-12-24,20.4,19.385130890052356,24.4,0.0
1990-12-25,22.4,16.2,29.932827341322678,0.0
1990-12-26,20.3,19.385130890052356,27.2,0.0
1990-12-27,23.840426251691472,19.385130890052356,29.932827341322678,4.414118779213638
1990-12-28,20.7,13.6,25.4,0.0
1990-12-29,20.3,16.0,29.932827341322678,0.0
1990-12-30,23.0,18.0,29.932827341322678,4.414118779213638
1990-12-31,23.6,19.0,27.2,0.0
1991-01-01,23.6,20.0,27.6,0.3
1991-02-01,23.9,19.385130890052356,29.7,0.0
1991-03-01,22.8,16.2,30.3,0.0
1991-04-01,22.9,17.9,29.0,0.0
1991-05-01,23.1,19.2,27.7,0.0
1991-06-01,22.7,17.5,28.5,0.0
1991-07-01,22.3,19.385130890052356,29.932827341322678,0.0
1991-08-01,21.9,19.385130890052356,27.0,0.0
1991-09-01,21.2,14.4,28.1,4.414118779213638
1991-10-01,22.3,16.3,29.2,0.0
1991-11-01,21.9,17.2,29.0,0.0
1991-12-01,18.6,17.7,29.932827341322678,4.414118779213638
1991-01-13,23.840426251691472,19.385130890052356,29.932827341322678,4.414118779213638
1991-01-14,19.2,15.5,29.932827341322678,4.414118779213638
1991-01-15,21.5,14.5,27.7,4.414118779213638
1991-01-16,23.840426251691472,19.385130890052356,29.932827341322678,4.414118779213638
1991-01-17,21.9,17.0,27.8,0.0
1991-01-18,22.8,19.385130890052356,28.3,0.0
1991-01-19,21.7,17.2,28.5,0.0
1991-01-20,22.7,18.3,29.932827341322678,0.0
1991-01-21,22.7,17.8,29.932827341322678,0.0
1991-01-22,24.4,16.5,30.5,4.414118779213638
1991-01-23,23.8,15.5,29.8,0.0
1991-01-24,21.2,16.1,28.9,0.0
1991-01-25,20.9,15.5,26.8,0.0
1991-01-26,21.2,14.2,28.0,0.0
1991-01-27,21.8,14.0,29.5,0.0
1991-01-28,21.8,19.385130890052356,31.1,0.0
1991-01-29,23.2,19.385130890052356,29.932827341322678,0.0
1991-01-30,19.1,13.9,28.8,0.0
1991-01-31,21.3,15.0,28.4,0.0
1991-01-02,22.9,17.0,29.932827341322678,0.0
1991-02-02,24.6,19.2,30.6,0.0
1991-03-02,24.7,19.6,31.5,0.0
1991-04-02,23.6,18.7,31.0,0.0
1991-05-02,23.6,18.8,30.1,0.0
